Id,Time[ns],Timing: Times
1,633436000.00,13.708 ms (72.950 Hz)
2,647144000.00,1.143 ms (874.891 Hz)
3,648287000.00,1.141 ms (876.808 Hz)
4,649427500.00,1.141 ms (876.040 Hz)
5,650569000.00,1.141 ms (876.424 Hz)
6,651710000.00,1.141 ms (876.808 Hz)
7,652850500.00,1.141 ms (876.424 Hz)
8,653991500.00,1.137 ms (879.507 Hz)
9,655128500.00,1.141 ms (876.808 Hz)
10,656269000.00,2.296 ms (435.540 Hz)
11,658565000.00,2.271 ms (440.335 Hz)
12,660836000.00,2.271 ms (440.335 Hz)
13,663107000.00,2.271 ms (440.335 Hz)
14,665378000.00,2.271 ms (440.335 Hz)
15,667649000.00,2.270 ms (440.529 Hz)
16,669919000.00,2.270 ms (440.529 Hz)
17,672189000.00,2.271 ms (440.335 Hz)
18,674460000.00,1.113 ms (898.473 Hz)
19,675573000.00,2.296 ms (435.445 Hz)
20,677869500.00,2.270 ms (440.529 Hz)
21,680139500.00,1.114 ms (897.666 Hz)
22,681253500.00,1.139 ms (877.963 Hz)
23,682392500.00,1.137 ms (879.121 Hz)
24,683530000.00,2.295 ms (435.635 Hz)
25,685825500.00,1.114 ms (897.666 Hz)
26,686939500.00,2.295 ms (435.635 Hz)
27,689235000.00,1.116 ms (896.057 Hz)
28,690351000.00,1.135 ms (880.669 Hz)
29,691486500.00,2.295 ms (435.825 Hz)
30,693781000.00,2.270 ms (440.529 Hz)
31,696051000.00,2.270 ms (440.432 Hz)
32,698321500.00,1.140 ms (877.193 Hz)
33,699461500.00,2.268 ms (440.820 Hz)
34,701730000.00,40.164 ms (24.898 Hz)
35,741894000.00,11.399 ms (87.731 Hz)
36,753292500.00,97.130 ms (10.295 Hz)
37,850422500.00,11.397 ms (87.742 Hz)
38,861819500.00,97.131 ms (10.295 Hz)
39,958950500.00,11.470 ms (87.188 Hz)
40,970420000.00,886.594 ms (1.128 Hz)
41,1857014500.00,13.694 ms (73.022 Hz)
42,1870709000.00,1.144 ms (874.126 Hz)
43,1871853000.00,1.143 ms (874.508 Hz)
44,1872996500.00,1.144 ms (874.126 Hz)
45,1874140500.00,1.145 ms (873.362 Hz)
46,1875285500.00,1.139 ms (877.963 Hz)
47,1876424500.00,1.145 ms (872.981 Hz)
48,1877570000.00,1.141 ms (876.040 Hz)
49,1878711500.00,1.141 ms (876.040 Hz)
50,1879853000.00,2.301 ms (434.594 Hz)
51,1882154000.00,2.275 ms (439.560 Hz)
52,1884429000.00,2.276 ms (439.464 Hz)
53,1886704500.00,2.274 ms (439.754 Hz)
54,1888978500.00,2.275 ms (439.657 Hz)
55,1891253000.00,2.274 ms (439.754 Hz)
56,1893527000.00,2.275 ms (439.560 Hz)
57,1895802000.00,2.274 ms (439.754 Hz)
58,1898076000.00,2.274 ms (439.754 Hz)
59,1900350000.00,1.117 ms (895.656 Hz)
60,1901466500.00,2.299 ms (435.066 Hz)
61,1903765000.00,1.117 ms (895.656 Hz)
62,1904881500.00,2.299 ms (434.972 Hz)
63,1907180500.00,1.117 ms (895.255 Hz)
64,1908297500.00,1.140 ms (877.578 Hz)
65,1909437000.00,1.141 ms (876.040 Hz)
66,1910578500.00,1.141 ms (876.808 Hz)
67,1911719000.00,2.298 ms (435.161 Hz)
68,1914017000.00,1.115 ms (897.263 Hz)
69,1915131500.00,2.296 ms (435.540 Hz)
70,1917427500.00,1.115 ms (896.459 Hz)
71,1918543000.00,2.295 ms (435.825 Hz)
72,1920837500.00,2.271 ms (440.335 Hz)
73,1923108500.00,2.270 ms (440.432 Hz)
74,1925379000.00,40.173 ms (24.892 Hz)
75,1965552000.00,11.415 ms (87.604 Hz)
76,1976967000.00,97.156 ms (10.293 Hz)
77,2074123000.00,11.420 ms (87.566 Hz)
78,2085543000.00,97.882 ms (10.216 Hz)
79,2183424500.00,11.438 ms (87.432 Hz)
80,2194862000.00,958.235 ms (1.044 Hz)
81,3153096500.00,13.630 ms (73.365 Hz)
82,3166727000.00,1.140 ms (877.193 Hz)
83,3167867000.00,1.140 ms (877.193 Hz)
84,3169007000.00,1.140 ms (877.193 Hz)
85,3170147000.00,1.138 ms (878.735 Hz)
86,3171285000.00,1.137 ms (879.121 Hz)
87,3172422500.00,1.087 ms (919.540 Hz)
88,3173510000.00,1.190 ms (839.983 Hz)
89,3174700500.00,1.139 ms (878.349 Hz)
90,3175839000.00,2.295 ms (435.730 Hz)
91,3178134000.00,2.270 ms (440.432 Hz)
92,3180404500.00,2.272 ms (440.141 Hz)
93,3182676500.00,2.273 ms (439.947 Hz)
94,3184949500.00,2.271 ms (440.335 Hz)
95,3187220500.00,2.272 ms (440.141 Hz)
96,3189492500.00,2.270 ms (440.432 Hz)
97,3191763000.00,2.270 ms (440.529 Hz)
98,3194033000.00,1.115 ms (896.861 Hz)
99,3195148000.00,1.139 ms (877.963 Hz)
100,3196287000.00,1.139 ms (878.349 Hz)
101,3197425500.00,2.296 ms (435.540 Hz)
102,3199721500.00,2.270 ms (440.432 Hz)
103,3201992000.00,1.113 ms (898.069 Hz)
104,3203105500.00,1.139 ms (877.963 Hz)
105,3204244500.00,1.137 ms (879.121 Hz)
106,3205382000.00,2.295 ms (435.825 Hz)
107,3207676500.00,2.269 ms (440.626 Hz)
108,3209946000.00,2.269 ms (440.723 Hz)
109,3212215000.00,1.113 ms (898.473 Hz)
110,3213328000.00,1.139 ms (878.349 Hz)
111,3214466500.00,2.293 ms (436.110 Hz)
112,3216759500.00,2.268 ms (440.917 Hz)
113,3219027500.00,2.268 ms (440.820 Hz)
114,3221296000.00,40.169 ms (24.895 Hz)
115,3261464500.00,11.438 ms (87.428 Hz)
116,3272902500.00,720.162 ms (1.389 Hz)
117,3993064500.00,13.674 ms (73.131 Hz)
118,4006738500.00,1.143 ms (874.508 Hz)
119,4007882000.00,1.142 ms (875.657 Hz)
120,4009024000.00,1.143 ms (875.274 Hz)
121,4010166500.00,1.141 ms (876.040 Hz)
122,4011308000.00,1.141 ms (876.040 Hz)
123,4012449500.00,1.143 ms (875.274 Hz)
124,4013592000.00,1.142 ms (875.657 Hz)
125,4014734000.00,1.142 ms (875.657 Hz)
